username,location,joined,nrContributions,nrReviews,nrUpvotes,nrFollowers,followers,nrFollowing,following
HanyGirgis1,"La Jolla, California",Joined in Mar 2007,41,34,17,0,[],7,"['TravelandLeisure', 'CNTraveler', 'FourSeasons', 'ThePointsGuy', 'galavante', 'ases0riasj', 'bellanomade']"
terrysO2108SY,"Santa Barbara, California",Joined in Oct 2008,448,183,83,0,[],0,[]
226h_vardp,"Oslo, Norway",Joined in Nov 2012,13,13,8,0,[],0,[]
montemd,Rocky River,Joined in Apr 2012,7,6,11,0,[],0,[]
nblem,"Bornholm, Denmark",Joined in Sep 2015,24,11,1,0,[],0,[]
bufr2018,,Joined in May 2018,6,4,1,0,[],0,[]
HowardN2,"Erie, Pennsylvania",Joined in Oct 2008,4,3,7,0,[],0,[]
Canadianstraveling,"Oakville, Canada",Joined in Aug 2015,383,366,215,1,['plan09'],0,[]
Savio_Neves,"Brasilia, DF",Joined in Dec 2010,26,25,9,2,"['pamedokawa', 'lucasr_assis']",3,"['alvarogarnero', 'pamedokawa', 'lucasr_assis']"
NPchicago1,"Chicago, Illinois",Joined in Jun 2018,15,14,10,0,[],0,[]
TuomasS146,"Helsinki, Finland",Joined in Apr 2018,10,4,1,0,[],0,[]
RobertEMcCallum,,Joined in Dec 2012,2,1,0,0,[],0,[]
HaydenM888,"Cape Town Central, South Africa",Joined in May 2012,98,26,30,1,['BOCATOW'],0,[]
dennis383,"Lymm, United Kingdom",Joined in Sep 2013,229,162,46,0,[],0,[]
Cinnamonkey,United Kingdom,Joined in Mar 2015,325,325,152,0,[],0,[]
Knittylongstockings,"Liverpool, United Kingdom",Joined in Jun 2017,207,69,26,0,[],0,[]
noellepvd,"Amsterdam, The Netherlands",Joined in Sep 2007,112,92,67,0,[],0,[]
carparkman,"Wilmslow, United Kingdom",Joined in Sep 2007,46,40,26,0,[],0,[]
Joanstey22,"Alonnisos, Greece",Joined in Oct 2011,10,10,4,0,[],0,[]
Gan011,"Kristiansand, Norway",Joined in Jul 2016,8,8,4,0,[],0,[]
ayang2020,"Tustin, California",Joined in Jul 2015,1,1,0,0,[],0,[]
S3761LHalisons,"Orlando, Florida",Joined in Dec 2015,11,9,3,0,[],0,[]
SBartoo,"Reigate, United Kingdom",Joined in Mar 2018,1,1,1,0,[],0,[]
vikki_1992_l,"Leeds, United Kingdom",Joined in Jun 2011,132,122,72,0,[],0,[]
hannahkH8024DB,"Peterborough, United Kingdom",Joined in Nov 2012,7,5,6,0,[],0,[]
eventhorizontravel,"Miami, Florida",Joined in Jul 2015,63,38,14,0,[],0,[]
ElizabethI1234,"London, United Kingdom",Joined in Aug 2015,102,66,69,4,"['Srilanka_Travel', 'feastandtravel', 'Kiarie', 'thompson751']",7,"['Tripadvisor', 'TimeOut', 'PopSugar', 'ananya_ray', 'handluggageonly', 'InTheKnow', 'GraceChina']"
estibalizEscobar,"Algeciras, Spain",Joined in Nov 2017,281,67,42,25,"['dani8720', 'marc_enjoy_it', 'rosodo', 'AzumiVillaHotel', 'antoniowinter', 'viajeroEH', 'NonoPepeCP', 'RosaBlanco', 'malaktourluxor', 'aventuracamboya', 'chematrip30', 'tcordello', 'bintan2019', 'piotrh1982', 'francis_huelva', 'JaruroFoodTaster', 'chloedgg', 'rutasjuanallo', 'loriguz', 'EnzoManuel']",105,"['Tripadvisor', 'CNTraveler', 'guiasviajar', 'Krisporelmundo', 'guialowcost', 'MochilerosTV', 'FotoEscapada', 'Mochileandoxelmundo', 'viajablog', 'apuntesviajero', 'PacoNadal', 'Myguiadeviajes', 'LaMaletadeCarla', 'WineStyleTravel', 'paulaordovas', 'madridbocados', 'ElViajeMeHizoaMi', 'LaViajeraEmpedernida', 'InteligenciaViajera', 'imanesdeviaje']"
eveiel,,Joined in Jan 2015,17,17,14,0,[],0,[]
480janhendrikm,"Hamburg, Germany",Joined in Jul 2015,28,21,14,2,"['SaharaMoroccoTour', 'waitingishappiness']",2,"['myhappyplaces_blog', 'Meerblog']"
Meak1162,"Aberdeen, United Kingdom",Joined in Jul 2009,6,2,1,0,[],0,[]
Misty0403,"Austin, Texas",Joined in Mar 2016,31,23,12,1,['kaytoursmexico'],0,[]
marktG8145RV,"Exmouth, United Kingdom",Joined in May 2016,12,13,9,0,[],0,[]
Go685985,"Charlotte, North Carolina",Joined in Dec 2016,53,30,27,1,['816reema'],0,[]
lauramS7027TK,"Houston, Texas",Joined in Oct 2017,37,21,8,0,[],0,[]
anfienga,"Rome, Italy",Joined in Sep 2012,414,399,174,0,[],0,[]
suzeetee,"Portsmouth, United Kingdom",Joined in Oct 2007,328,97,114,7,"['barcaranger', 'sevensilver', 'Runyargf', 'Bradgjgh', 'HopperBoy', '185charlesd', 'HelloKitty73']",6,"['Epicureandelite', 'Mitchi121', 'sevensilver', '185charlesd', 'HelloKitty73', '448clairej']"
oneworldtravelbug,"Placencia, Belize",Joined in Oct 2012,65,32,12,1,['BrazilACA'],0,[]
MobileDane,Copenhagen,Joined in Feb 2007,157,140,108,0,[],0,[]
404francesl,,Joined in Apr 2016,6,6,1,0,[],0,[]
MichaelT4806,,Joined in Nov 2012,4,4,3,0,[],0,[]
Jark5,"Lancaster, United Kingdom",Joined in May 2013,18,11,1,0,[],0,[]
RohanC481,"Birmingham, United Kingdom",Joined in Sep 2012,28,26,14,0,[],0,[]
954camiels,"The Hague, The Netherlands",Joined in Jun 2012,141,137,68,1,['861stephenw'],2,"['861stephenw', 'franabDenHaag']"
aebcpama,"Mechanicsburg, Pennsylvania",Joined in Sep 2008,184,183,43,1,['LisaPaulweqa'],0,[]
Aingealmom,"Yellowknife, Canada",Joined in Sep 2007,17,14,3,0,[],0,[]
helloemma,"Derbyshire, United Kingdom",Joined in May 2009,149,140,102,1,['Karolxox'],3,"['NatGeo', 'Karolxox', 'andrewandrea1']"
Arturofueyo,"Madrid, Spain",Joined in Dec 2008,139,139,54,0,[],0,[]
krafta1,"Leonding, Austria",Joined in Nov 2009,12,12,2,0,[],0,[]
BPR18,"New York City, New York",Joined in Jul 2010,111,110,63,0,[],0,[]
EagerBeaver_37,"Toronto, Canada",Joined in Oct 2008,244,154,58,0,[],0,[]
QuentinCooke,"Burwell, United Kingdom",Joined in Oct 2012,19,19,6,0,[],0,[]
rjb500,"Manchester, United Kingdom",Joined in Feb 2016,18,15,6,0,[],0,[]
MidAtlanticMan,"Palm Springs, California",Joined in Apr 2009,146,124,105,2,"['grlgrdgate', 'Michelllechampers']",0,[]
leehocrx,"Tucson, Arizona",Joined in Dec 2015,1,1,1,0,[],0,[]
friedfishfood,"Portland, Oregon",Joined in Jul 2011,4,4,2,0,[],0,[]
Ivycrest4,"Knoxville, Tennessee",Joined in Jul 2012,34,33,17,0,[],0,[]
pb01151,"London, United Kingdom",Joined in Jul 2017,6,6,2,0,[],0,[]
samanthajones987123,"Toronto, Canada",Joined in Jul 2017,4,4,0,0,[],0,[]
06_BaR_06,"Melbourne, Australia",Joined in Jan 2013,22,21,3,0,[],0,[]
Lmw205,"Bournemouth, United Kingdom",Joined in Jan 2012,76,76,75,0,[],0,[]
Fjordfood,"Bergen, Norway",Joined in Sep 2010,6,5,4,0,[],0,[]
syzygy66,"Falls Church, Virginia",Joined in Apr 2009,63,63,17,0,[],0,[]
colinallum,"Mansfield, United Kingdom",Joined in Jul 2011,92,89,43,0,[],0,[]
21lissat,"Fort Lauderdale, Florida",Joined in May 2004,14,9,6,0,[],0,[]
EnjoyOurLife,,Joined in Nov 2008,42,40,27,0,[],0,[]
lucygirl4,"West Palm Beach, Florida",Joined in Aug 2011,26,24,5,1,['SouthSea1991'],0,[]
sweetiesPennsylvania,Pennsylvania,Joined in Mar 2010,376,376,160,0,[],1,['ThePointsGuy']
mrstats69,"Thousand Oaks, California",Joined in May 2008,431,287,129,0,[],0,[]
jjj637,"Paris, France",Joined in May 2017,40,33,11,0,[],0,[]
RLNHBG,"Helsingborg, Sweden",Joined in Aug 2008,364,292,71,1,['FCB93'],0,[]
lmc556,"Solihull, United Kingdom",Joined in Oct 2008,40,14,10,1,['vikkij2019'],0,[]
